term,meaning,occurrence_count,chapters,source_files,is_aristotelian,genus,differentia,reason,suggested_genus,suggested_differentia,classification_error
investment grade,describes a municipal or corporate bond with a rating that indicates it presents a low risk of default,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,a municipal or corporate bond,with a rating that indicates it presents a low risk of default,,,,
investments,one of the three main areas of finance; products and processes used to create individual and institutional portfolios with the intent of growing wealth,1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,one of the three main areas of finance,products and processes used to create individual and institutional portfolios with the intent of growing wealth,,,,
investor,"a person or an entity, such as a firm or mutual fund, that invests capital with the expectation of receiving financial returns",1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a person or an entity,"such as a firm or mutual fund, that invests capital with the expectation of receiving financial returns",,,,
investor relations (IR),"a strategic management responsibility that is capable of integrating finance, communication, marketing, and securities law compliance to enable the most effective two-way communication between a company and the financial community or other constituencies, which ultimately contributes to a company’s securities achieving fair valuation",1,"Interacting with Investors, Intermediaries, and Other Market Participants",osbooks-principles-finance\modules\m00015\index.cnxml,yes,a strategic management responsibility,"that is capable of integrating finance, communication, marketing, and securities law compliance to enable the most effective two-way communication between a company and the financial community or other constituencies, which ultimately contributes to a company’s securities achieving fair valuation",,,,
Jensen’s alpha,"a measure of portfolio performance, calculated as the raw portfolio return minus the expected portfolio return predicted by the CAPM",1,Applications in Performance Measurement,osbooks-principles-finance\modules\m00096\index.cnxml,yes,a measure of portfolio performance,calculated as the raw portfolio return minus the expected portfolio return predicted by the CAPM,,,,
junk bonds,"bonds that have been given a low credit rating, below investment grade; riskier than other bonds due to a greater chance that the issuer will default or experience a credit event",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,bonds,"that have been given a low credit rating, below investment grade; riskier than other bonds due to a greater chance that the issuer will default or experience a credit event",,,,
just-in-time inventory,inventory management method in which a company maintains as little inventory on hand as possible while still being able to satisfy the demands of its customers,1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,inventory management method,in which a company maintains as little inventory on hand as possible while still being able to satisfy the demands of its customers,,,,
law of demand,"the principle that the quantity of purchases varies inversely with price; the higher the price, the lower the quantity",1,Microeconomics,osbooks-principles-finance\modules\m00018\index.cnxml,yes,the principle,"that the quantity of purchases varies inversely with price; the higher the price, the lower the quantity",,,,
letter of credit,a letter issued by a bank that is evidence of a guarantee for payments made to a specified entity (such as a supplier) under specified conditions; common in international trade transactions,1,What Is Trade Credit?,osbooks-principles-finance\modules\m00121\index.cnxml,yes,a letter issued by a bank,that is evidence of a guarantee for payments made to a specified entity (such as a supplier) under specified conditions; common in international trade transactions,,,,
levered equity,equity in a firm that has debt outstanding,1,Capital Structure Choices,osbooks-principles-finance\modules\m00109\index.cnxml,yes,equity,in a firm that has debt outstanding,,,,
liabilities,probable future sacrifice of economic benefits arising from present obligations of a particular entity to transfer assets or provide services to other entities in the future as a result of past transactions or events,1,The Balance Sheet,osbooks-principles-finance\modules\m00032\index.cnxml,yes,probable future sacrifice of economic benefits,arising from present obligations of a particular entity to transfer assets or provide services to other entities in the future as a result of past transactions or events,,,,
limited liability corporation (LLC),a US-specific form of a private limited company; a business structure that can combine the pass-through taxation of a partnership or sole proprietorship with the limited liability of a corporation,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a US-specific form of a private limited company; a business structure,that can combine the pass-through taxation of a partnership or sole proprietorship with the limited liability of a corporation,,,,
limited liability partnership (LLP),a partnership in which some or all partners have limited liabilities; can exhibit elements of both partnerships and corporations,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a partnership,in which some or all partners have limited liabilities; can exhibit elements of both partnerships and corporations,,,,
linear correlation,a measure of the association between two variables that exhibit an approximate straight-line fit when plotted on a scatter plot,1,Correlation Analysis,osbooks-principles-finance\modules\m00086\index.cnxml,yes,a measure of the association between two variables,that exhibit an approximate straight-line fit when plotted on a scatter plot,,,,
liquid asset,an asset that can be readily converted into cash within a short period of time,1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,yes,an asset,that can be readily converted into cash within a short period of time,,,,
liquidity,ability to convert assets into cash in order to meet primarily short-term cash needs or emergencies,2,Liquidity Ratios; What Is Working Capital?,osbooks-principles-finance\modules\m00042\index.cnxml; osbooks-principles-finance\modules\m00120\index.cnxml,yes,ability,to convert assets into cash in order to meet primarily short-term cash needs or emergencies,,,,
liquidity risk,"risk that stems from the lack of marketability of an investment, meaning that it cannot be bought or sold quickly enough to prevent or minimize a loss",1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,risk,"that stems from the lack of marketability of an investment, meaning that it cannot be bought or sold quickly enough to prevent or minimize a loss",,,,
loan amortization,"the scheduling of periodic repayment of a debt, typically involving regular payments or receipts of amounts that include both interest payment and repayment of the principal of the amount owed",1,Loan Amortization,osbooks-principles-finance\modules\m00054\index.cnxml,yes,the scheduling of periodic repayment of a debt,typically involving regular payments or receipts of amounts that include both interest payment and repayment of the principal of the amount owed,,,,
London Interbank Offered Rate (LIBOR),a benchmark interest rate at which major global banks lend to one another in the international interbank market for short-term loans,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,a benchmark interest rate,at which major global banks lend to one another in the international interbank market for short-term loans,,,,
long-term asset,"asset used in the normal, ongoing course of business for more than one year that is not intended to be resold",1,When Should a Company Capitalize or Expense an Item?,osbooks-principles-finance\modules\m00028\index.cnxml,yes,asset,"used in the normal, ongoing course of business for more than one year that is not intended to be resold",,,,
loss,decrease in organizational value from activities that are “incidental or peripheral” to the primary purpose of the business,1,The Income Statement,osbooks-principles-finance\modules\m00031\index.cnxml,yes,decrease in organizational value,from activities that are “incidental or peripheral” to the primary purpose of the business,,,,
losses,decreases in organizational value from activities that are “incidental or peripheral” to the primary purpose of the business,1,Economic Basis for Accrual Accounting,osbooks-principles-finance\modules\m00026\index.cnxml,yes,decreases in organizational value,from activities that are “incidental or peripheral” to the primary purpose of the business,,,,
lump sum,"a single cash payment made in lieu of a series of future payments, such as a lottery payout or a legal settlement",1,Annuities,osbooks-principles-finance\modules\m00053\index.cnxml,yes,a single cash payment,made in lieu of a series of future payments,,,,
macroeconomics,"the study of the economy as a whole, focusing on unemployment, inflation, and total output",1,Macroeconomics,osbooks-principles-finance\modules\m00019\index.cnxml,yes,the study of the economy as a whole,"focusing on unemployment, inflation, and total output",,,,
margin,the collateral that must be posted to guarantee that a trader will honor a futures contract,1,Commodity Price Risk,osbooks-principles-finance\modules\m00128\index.cnxml,yes,the collateral,that must be posted to guarantee that a trader will honor a futures contract,,,,
market capitalization,"the value of a company traded on the stock market, calculated by multiplying the total number of shares by the current share price",1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,the value of a company traded on the stock market,calculated by multiplying the total number of shares by the current share price,,,,
market risk premium,the reward for taking on the average amount of market risk,1,The Capital Asset Pricing Model (CAPM),osbooks-principles-finance\modules\m00095\index.cnxml,no,,,no clear genus stated,a reward,for taking on the average amount of market risk,
market value ratios,measures used to assess a firm’s overall market price,1,Market Value Ratios,osbooks-principles-finance\modules\m00044\index.cnxml,yes,measures,used to assess a firm’s overall market price,,,,
marketable securities,investments that can be converted to cash quickly; short-term liquid securities that can be bought or sold on a public exchange (market) and tend to mature in a year or less,1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,investments,that can be converted to cash quickly; short-term liquid securities that can be bought or sold on a public exchange (market) and tend to mature in a year or less,,,,
marking to market,"a procedure by which cash flows are exchanged daily for a futures contract, rather than at the end of the contract",1,Commodity Price Risk,osbooks-principles-finance\modules\m00128\index.cnxml,yes,a procedure,"by which cash flows are exchanged daily for a futures contract, rather than at the end of the contract",,,,
maturity date,"the date on which a bondholder ceases to receive interest payments on a bond investment and instead is repaid its par, or face, value",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,the date,"on which a bondholder ceases to receive interest payments on a bond investment and instead is repaid its par, or face, value",,,,
median,the middle value in an ordered data set,1,Measures of Center,osbooks-principles-finance\modules\m00078\index.cnxml,yes,the middle value,in an ordered data set,,,,
method of least squares,a mathematical method to generate a linear equation that is the “best fit” to the points on the scatter plot in the sense that the line minimizes the differences between the predicted values and observed values for y,1,Linear Regression Analysis,osbooks-principles-finance\modules\m00087\index.cnxml,yes,a mathematical method,to generate a linear equation that is the “best fit” to the points on the scatter plot in the sense that the line minimizes the differences between the predicted values and observed values for y,,,,
microeconomics,"the study of the economy at the individual level, focusing on how individuals and businesses choose to allocate scarce resources",1,Microeconomics,osbooks-principles-finance\modules\m00018\index.cnxml,yes,the study of the economy,"at the individual level, focusing on how individuals and businesses choose to allocate scarce resources",,,,
mixed stream,a set of cash flows over a period of time that can vary in amount from one period to the next,1,Timing of Cash Flows,osbooks-principles-finance\modules\m00058\index.cnxml,yes,a set of cash flows over a period of time,that can vary in amount from one period to the next,,,,
mode,the most frequently occurring data value in a data set,1,Measures of Center,osbooks-principles-finance\modules\m00078\index.cnxml,yes,data value,most frequently occurring ... in a data set,,,,
modified internal rate of return (MIRR),the yield that sets the future value of the cash inflows of a project equal to the present value of the cash outflows of the project,1,Alternative Methods,osbooks-principles-finance\modules\m00102\index.cnxml,yes,the yield,that sets the future value of the cash inflows of a project equal to the present value of the cash outflows of the project,,,,
money market,"the market for short-term, low-risk, highly liquid, homogeneous financial securities; common money market securities include T-bills, NCDs, and commercial paper",1,Financial Instruments,osbooks-principles-finance\modules\m00008\index.cnxml,yes,the market,"for short-term, low-risk, highly liquid, homogeneous financial securities",,,,
money market investments,"low-risk financial instruments such as T-bills, federal notes, commercial paper, certificates of deposit (CDs), repurchase agreements (repos), and bankers’ acceptances, among others",1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,no,,,gives an example instead of a genus,financial instruments,"that are low-risk and include T-bills, federal notes, commercial paper, certificates of deposit (CDs), repurchase agreements (repos), and bankers’ acceptances",
money market mutual funds,"created by investment companies to pool the money of many investors to purchase and then manage short-term, low-risk, liquid financial portfolios of securities",1,Financial Instruments,osbooks-principles-finance\modules\m00008\index.cnxml,yes,investment companies,"created by investment companies to pool the money of many investors to purchase and then manage short-term, low-risk, liquid financial portfolios of securities",,,,
money supply,the total dollar value of legal tender that is available to consumers within an economy at any single point in time,1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,yes,the total dollar value of legal tender,that is available to consumers within an economy at any single point in time,,,,
mortgage bond,"bond issued by a corporation using a real asset, such as property or buildings, to guarantee it",1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,yes,bond issued by a corporation,"using a real asset, such as property or buildings, to guarantee it",,,,
municipal bonds (munis),"long-term debt obligations issued by state or local governments that often have important tax advantages relative to corporate bonds | debt securities issued by state and local governments; can be thought of as loans that investors make to local governments to fund infrastructure | bonds issued by a local government, territory, or agency; generally used to finance infrastructure projects",3,Financial Instruments; Characteristics of Bonds; Overview of US Financial Markets,osbooks-principles-finance\modules\m00008\index.cnxml; osbooks-principles-finance\modules\m00061\index.cnxml; osbooks-principles-finance\modules\m00073\index.cnxml,yes,long-term debt obligations,issued by state or local governments that often have important tax advantages relative to corporate bonds,,,,
mutually exclusive projects,"projects that compete against each other so that when one project is chosen, the other project cannot be done",1,Choosing between Projects,osbooks-principles-finance\modules\m00103\index.cnxml,yes,projects,"that compete against each other so that when one project is chosen, the other project cannot be done",,,,
NASDAQ (National Association of Securities Dealers Automated Quotations),"short for National Association of Securities Dealers Automated Quotations; an American stock exchange based in New York City, ranked second behind the New York Stock Exchange in terms of total market capitalization of shares traded",1,Efficient Markets,osbooks-principles-finance\modules\m00071\index.cnxml,yes,an American stock exchange,"based in New York City, ranked second behind the New York Stock Exchange in terms of total market capitalization of shares traded",,,,
natural hedge,when a company offsets the risk that something will decrease in value by having a company activity that would increase in value at the same time,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,no,,,no clear genus stated,a company activity,that offsets the risk that something will decrease in value by having another company activity that would increase in value at the same time,
negotiable certificate of deposit,"very large CDs issued by financial institutions, redeemable only at maturity but can and often do trade prior to maturity in a broad secondary market; also called jumbo CDs because they sell in increments of $100,000 or more",1,Financial Instruments,osbooks-principles-finance\modules\m00008\index.cnxml,yes,very large CDs,"issued by financial institutions, redeemable only at maturity but can and often do trade prior to maturity in a broad secondary market",,,,
negotiable certificates of deposit (NCDs),large CDs issued by financial institutions; redeemable at maturity but can trade prior to maturity in a broad secondary market,1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,yes,large CDs issued by financial institutions,redeemable at maturity but can trade prior to maturity in a broad secondary market,,,,
net book value,also called net asset value (NAV); the total assets of a company minus its total liabilities,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,the total assets of a company,minus its total liabilities,,,,
net debt,a company’s total debt minus any cash or risk-free assets the company holds,1,Calculating the Weighted Average Cost of Capital,osbooks-principles-finance\modules\m00108\index.cnxml,yes,a company’s total debt,minus any cash or risk-free assets the company holds,,,,
net income,income earned when revenues and gains are greater than expenses and losses | revenues and gains that are greater than expenses and losses,2,Cash versus Accrual Accounting; The Income Statement,osbooks-principles-finance\modules\m00025\index.cnxml; osbooks-principles-finance\modules\m00031\index.cnxml,yes,income,earned when revenues and gains are greater than expenses and losses,,,,
net present value (NPV),the present value of the cash inflows of a project minus the present value of the cash outflows of the project,1,Net Present Value (NPV) Method,osbooks-principles-finance\modules\m00100\index.cnxml,yes,the present value of the cash inflows of a project,minus the present value of the cash outflows of the project,,,,
net terms,also referred to as the full credit period; the number of days that a business purchaser has before they must pay their invoice,1,What Is Trade Credit?,osbooks-principles-finance\modules\m00121\index.cnxml,yes,the number of days,that a business purchaser has before they must pay their invoice,,,,
net working capital,the difference between current assets and current liabilities (Current Assets – Current Liabilities = Net Working Capital),1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,the difference,between current assets and current liabilities,,,,
nominal interest rate,the quoted or stated interest rate,1,Interest Rates,osbooks-principles-finance\modules\m00021\index.cnxml,no,,,no genus stated,interest rate,that is quoted or stated,
non-diversifiable risk,risk that cannot be eliminated by simply holding a portfolio of securities; also known as systematic risk,1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,risk,that cannot be eliminated by simply holding a portfolio of securities,,,,
non-stock corporation,"a corporation that does not have owners represented by shares of stock but typically has members who are the functional equivalent of stockholders in a stock corporation (having the right to vote, etc.); describes the vast majority of not-for-profit corporations",1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a corporation,"that does not have owners represented by shares of stock but typically has members who are the functional equivalent of stockholders in a stock corporation (having the right to vote, etc.)",,,,
noncash expenses,expenses that reduce net income but are not associated with a cash flow; most common example is depreciation expense,1,The Statement of Cash Flows,osbooks-principles-finance\modules\m00035\index.cnxml,yes,expenses,that reduce net income but are not associated with a cash flow,,,,
noncurrent assets,assets used in the normal course of business for more than one year that are not intended to be resold,1,The Balance Sheet,osbooks-principles-finance\modules\m00032\index.cnxml,yes,assets,used in the normal course of business for more than one year that are not intended to be resold,,,,
noncurrent liabilities,liabilities that are expected to be settled in more than one year,1,The Balance Sheet,osbooks-principles-finance\modules\m00032\index.cnxml,yes,liabilities,that are expected to be settled in more than one year,,,,
nonprofit (not-for-profit) corporation,a legal entity that has been incorporated under the law of its jurisdiction for purposes other than making profits for its owners or shareholders,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a legal entity,that has been incorporated under the law of its jurisdiction for purposes other than making profits for its owners or shareholders,,,,
normal distribution,"a bell-shaped distribution curve that is used to model many measurements, including IQ scores, salaries, heights, weights, blood pressures, etc.",1,Statistical Distributions,osbooks-principles-finance\modules\m00081\index.cnxml,yes,a bell-shaped distribution curve,"that is used to model many measurements, including IQ scores, salaries, heights, weights, blood pressures, etc.",,,,
NYSE (New York Stock Exchange),"the world’s largest stock exchange by market capitalization of its listed companies, based in New York City; often referred to as the “Big Board”",1,Efficient Markets,osbooks-principles-finance\modules\m00071\index.cnxml,yes,the world’s largest stock exchange by market capitalization of its listed companies,based in New York City; often referred to as the “Big Board”,,,,
operating activities,cash business transactions reported on the statement of cash flows that relate to ongoing day-to-day operations,1,The Importance of Forecasting,osbooks-principles-finance\modules\m00113\index.cnxml,yes,cash business transactions reported on the statement of cash flows,that relate to ongoing day-to-day operations,,,,
operating cycle,"amount of time it takes a company to use its cash to provide a product or service and collect payment from the customer | the time it takes a company to acquire inventory, sell inventory, and collect the cash from the sale of said goods; synonymous with cash cycle",2,Operating Efficiency Ratios; What Is Working Capital?,osbooks-principles-finance\modules\m00041\index.cnxml; osbooks-principles-finance\modules\m00120\index.cnxml,yes,amount of time,it takes a company to use its cash to provide a product or service and collect payment from the customer,,,,
opportunity cost,the loss of potential gain from other alternatives when a single alternative is chosen | the cost of a forgone opportunity,2,Applications of TVM in Finance; What Is Trade Credit?,osbooks-principles-finance\modules\m00050\index.cnxml; osbooks-principles-finance\modules\m00121\index.cnxml,no,,,circular,a cost,of a forgone opportunity,
option,"an agreement that gives the owner the right, but not the obligation, to purchase or sell an asset at a specified price on some future date",1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,an agreement,"that gives the owner the right, but not the obligation, to purchase or sell an asset at a specified price on some future date",,,,
option writer,seller of a call or put option,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,seller,of a call or put option,,,,
ordering costs,costs associated with placing an order with a vendor or supplier,1,Inventory Management,osbooks-principles-finance\modules\m00124\index.cnxml,yes,costs,associated with placing an order with a vendor or supplier,,,,
ordinary annuity,a stream of periodic payments in which the payment or receipt occurs at the end of each period,1,Annuities,osbooks-principles-finance\modules\m00053\index.cnxml,yes,a stream of periodic payments,in which the payment or receipt occurs at the end of each period,,,,
outliers,data values that are significantly different from the other data values in a data set,1,Measures of Center,osbooks-principles-finance\modules\m00078\index.cnxml,yes,data values,that are significantly different from the other data values in a data set,,,,
owner’s equity,residual interest in the assets of an entity that remains after deducting its liabilities,1,The Statement of Owner’s Equity,osbooks-principles-finance\modules\m00034\index.cnxml,yes,residual interest,in the assets of an entity that remains after deducting its liabilities,,,,
par value,"also called the face amount or face value; the value written on the front of the bond, which is the amount of money that bond issuers promise to be paid at maturity",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,no,,,no genus stated,the amount of money,that bond issuers promise to be paid at maturity,
partnership,a formal arrangement by two or more parties to manage and operate a business and share its profits and liabilities equally,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a formal arrangement,by two or more parties to manage and operate a business and share its profits and liabilities equally,,,,
payback period,the length of time it will take for a company to make enough money from an investment to recover the initial cost of the investment,1,Payback Period Method,osbooks-principles-finance\modules\m00099\index.cnxml,yes,the length of time,it will take for a company to make enough money from an investment to recover the initial cost of the investment,,,,
percentiles,numbers that divide an ordered data set into hundredths; often used to indicate position of a data value in a data set,1,Measures of Position,osbooks-principles-finance\modules\m00080\index.cnxml,yes,numbers,that divide an ordered data set into hundredths; often used to indicate position of a data value in a data set,,,,
perpetuity,"a stream of periodic payments that is expected to continue indefinitely | in terms of investments, an annuity with no end date",2,Perpetuities; Dividend Discount Models (DDMs),osbooks-principles-finance\modules\m00052\index.cnxml; osbooks-principles-finance\modules\m00068\index.cnxml,yes,a stream of periodic payments,that is expected to continue indefinitely,,,,
political risk,"the risk of local, state, or national governments “changing the rules” and disrupting firm cash flows",1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,the risk,"of local, state, or national governments “changing the rules” and disrupting firm cash flows",,,,
population data,data representing all the outcomes or measurements that are of interest,1,Measures of Center,osbooks-principles-finance\modules\m00078\index.cnxml,yes,data,representing all the outcomes or measurements that are of interest,,,,
portfolio,"a collection of financial investments, such as stocks, bonds, mutual funds, certificates of deposit, etc. | a collection of owned stocks",2,Probability Distributions; Risk and Return to Multiple Assets,osbooks-principles-finance\modules\m00082\index.cnxml; osbooks-principles-finance\modules\m00094\index.cnxml,yes,a collection of financial investments,"such as stocks, bonds, mutual funds, certificates of deposit, etc.",,,,
precautionary motive,"a reason to hold cash balances for unexpected expenditures such as repairs, costs associated with unexpected breakdown of equipment, and hiring temporary workers to meet unexpected production demands",1,Cash Management,osbooks-principles-finance\modules\m00122\index.cnxml,no,,,gives an example instead of a genus,a motive for holding cash,to cover unexpected expenditures,
precedent transaction analysis (precedents),a method for valuating a company in which the price paid for similar companies in the past is considered an indicator of the company’s current value,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,a method for valuating a company,in which the price paid for similar companies in the past is considered an indicator of the company’s current value,,,,
prediction,a forecast for the dependent variable based on a specific value of the independent variable generated using the linear model,1,Linear Regression Analysis,osbooks-principles-finance\modules\m00087\index.cnxml,yes,a forecast for the dependent variable,based on a specific value of the independent variable generated using the linear model,,,,
preferred stock,"shares of ownership in a corporation that typically entitle the holder to a fixed dividend per share, if declared by the corporation, with priority over holders of that corporation’s common stock | stock that entitles the holder to a fixed dividend, the payment of which takes priority over payment of common stock dividends | equity capital that has a fixed dividend; preferred shareholders fall in between debt holders and common stockholders in the order of claimants",3,Perpetuities; Preferred Stock; Alternative Sources of Funds,osbooks-principles-finance\modules\m00052\index.cnxml; osbooks-principles-finance\modules\m00070\index.cnxml; osbooks-principles-finance\modules\m00111\index.cnxml,yes,shares of ownership in a corporation,"that typically entitle the holder to a fixed dividend per share, if declared by the corporation, with priority over holders of that corporation’s common stock",,,,
premium,the price a buyer of an option pays for the option contract,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,the price,a buyer of an option pays for the option contract,,,,
premium bond,a bond that is trading above its par value in the secondary market; offers a coupon rate that is higher than the current prevailing interest rates being offered,1,Bond Valuation,osbooks-principles-finance\modules\m00062\index.cnxml,yes,a bond,that is trading above its par value in the secondary market; offers a coupon rate that is higher than the current prevailing interest rates being offered,,,,
present value,the value of an asset in today’s dollars based on future growth expectations at an assumed interest rate,1,Timing of Cash Flows,osbooks-principles-finance\modules\m00058\index.cnxml,yes,the value of an asset,in today’s dollars based on future growth expectations at an assumed interest rate,,,,
present value (PV),"the current value of a future amount, calculated by discounting the future value back at a known discount or interest rate for a specified period of time",1,Time Value of Money (TVM) Basics,osbooks-principles-finance\modules\m00048\index.cnxml,yes,the current value of a future amount,calculated by discounting the future value back at a known discount or interest rate for a specified period of time,,,,
press release,an official statement delivered to members of the news media for the purpose of making an announcement or otherwise providing information,1,"Interacting with Investors, Intermediaries, and Other Market Participants",osbooks-principles-finance\modules\m00015\index.cnxml,yes,an official statement,delivered to members of the news media for the purpose of making an announcement or otherwise providing information,,,,
price-to-book (P/B) ratio,"also called the market-to-book (M/B) ratio; a metric used to compare a company’s market capitalization, or market value, to its book value",1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,a metric,"used to compare a company’s market capitalization, or market value, to its book value",,,,
price-to-cash-flow (P/CF) ratio,a stock valuation indicator or multiple that measures the value of a stock’s price relative to its operating cash flow per share,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,a stock valuation indicator or multiple,that measures the value of a stock’s price relative to its operating cash flow per share,,,,
price-to-earnings (P/E) ratio,a ratio that indicates the dollar amount an investor can expect to invest in a company in order to receive one dollar of that company’s earnings,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,a ratio,that indicates the dollar amount an investor can expect to invest in a company in order to receive one dollar of that company’s earnings,,,,
price-to-sales (P/S) ratio,a ratio that indicates how much investors are willing to pay for a company’s stock per dollar of that company’s sales,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,a ratio,that indicates how much investors are willing to pay for a company’s stock per dollar of that company’s sales,,,,
price/earnings (P/E) ratio,company’s stock price divided by the company’s earnings per share; indicates the amount investors are willing to pay for one dollar of earnings,1,Market Value Ratios,osbooks-principles-finance\modules\m00044\index.cnxml,no,,,no genus stated,a financial ratio,that is a company’s stock price divided by the company’s earnings per share and indicates the amount investors are willing to pay for one dollar of earnings,
primary market,a term used in financial markets to identify the market for the purchase and sale of new securities | market for new securities,2,Markets and Participants; Overview of US Financial Markets,osbooks-principles-finance\modules\m00006\index.cnxml; osbooks-principles-finance\modules\m00073\index.cnxml,yes,market,for the purchase and sale of new securities,,,,
prime rate,"the interest rate that banks charge creditworthy corporate customers; among the most widely used benchmarks for setting home equity lines of credit and credit card rates, based on the federal funds rate set by the Federal Reserve",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,the interest rate,"that banks charge creditworthy corporate customers; among the most widely used benchmarks for setting home equity lines of credit and credit card rates, based on the federal funds rate set by the Federal Reserve",,,,
principal,"the person with the highest authority or most important position in a company, organization, institution, or group",1,Agency Issues: Shareholders and Corporate Boards,osbooks-principles-finance\modules\m00014\index.cnxml,yes,the person,"with the highest authority or most important position in a company, organization, institution, or group",,,,
pro forma,"in the context of financial statements, forward-looking",1,Pro Forma Financials,osbooks-principles-finance\modules\m00115\index.cnxml,no,,,no genus stated,financial statement,that is forward-looking,
probability distribution,a mathematical function that assigns probabilities to various outcomes,1,Probability Distributions,osbooks-principles-finance\modules\m00082\index.cnxml,yes,a mathematical function,that assigns probabilities to various outcomes,,,,
producer price index (PPI),a measure of the prices that producers of goods and services pay for their supplies and raw materials,1,Macroeconomics,osbooks-principles-finance\modules\m00019\index.cnxml,yes,a measure of the prices,that producers of goods and services pay for their supplies and raw materials,,,,
professional corporation,"a form of corporate entity used by licensed professionals such as attorneys, architects, engineers, public accountants, and physicians, which is regulated by special provisions in many corporation statutes",1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a form of corporate entity,"used by licensed professionals such as attorneys, architects, engineers, public accountants, and physicians, which is regulated by special provisions in many corporation statutes",,,,
profit margin,represents how much of sales revenue has translated into income,1,Profitability Ratios and the DuPont Method,osbooks-principles-finance\modules\m00045\index.cnxml,no,,,no clear genus stated,a financial ratio,that represents how much of sales revenue has translated into income,
profitability index (PI),the present value of cash inflows divided by the present value of cash outflows,1,Alternative Methods,osbooks-principles-finance\modules\m00102\index.cnxml,yes,the present value of cash inflows divided by the present value of cash outflows,,,,,
public benefit corporation,a specific type of Delaware general corporation that is owned by shareholders who expect the company to make a profit and return some of that money to them in the form of dividends,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a specific type of Delaware general corporation,that is owned by shareholders who expect the company to make a profit and return some of that money to them in the form of dividends,,,,
put option,"an option that gives the owner the right, but not the obligation, to sell the underlying asset at a specified price on some future date",1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,an option,"that gives the owner the right, but not the obligation, to sell the underlying asset at a specified price on some future date",,,,
quarterly report,a document describing a public corporation’s operations and financial condition that must be provided to shareholders four times per year; also known as Securities and Exchange Commission (SEC) Form 10-Q,1,"Interacting with Investors, Intermediaries, and Other Market Participants",osbooks-principles-finance\modules\m00015\index.cnxml,yes,a document,describing a public corporation’s operations and financial condition that must be provided to shareholders four times per year,,,,
quartiles,numbers that divide an ordered data set into quarters; the second quartile is the same as the median,1,Measures of Position,osbooks-principles-finance\modules\m00080\index.cnxml,yes,numbers,that divide an ordered data set into quarters,,,,
quick payment,a payment made on an account payable during a period of time that falls within the discount period,1,What Is Trade Credit?,osbooks-principles-finance\modules\m00121\index.cnxml,yes,a payment,made on an account payable during a period of time that falls within the discount period,,,,
